shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,39.363299,-74.441486,1,0.0000
1,39.363301,-74.441486,2,0.0002
1,39.366740,-74.454366,3,0.7294
1,39.367160,-74.456252,4,0.8343
1,39.367190,-74.456426,5,0.8438
1,39.367943,-74.460838,6,1.0852
1,39.368080,-74.461478,7,1.1206
1,39.368269,-74.462101,8,1.1564
1,39.368508,-74.462692,9,1.1920
2,39.363299,-74.441486,1,0.0000
2,39.363301,-74.441486,2,0.0002
2,39.366740,-74.454366,3,0.7294
2,39.367160,-74.456252,4,0.8343
2,39.367190,-74.456426,5,0.8438
2,39.367943,-74.460838,6,1.0852
2,39.368080,-74.461478,7,1.1206
2,39.368269,-74.462101,8,1.1564
2,39.368508,-74.462692,9,1.1920
2,39.368793,-74.463246,10,1.2277
2,39.369081,-74.463702,11,1.2591
2,39.370125,-74.465216,12,1.3676
2,39.370412,-74.465544,13,1.3941
2,39.370588,-74.465787,14,1.4119
2,39.387232,-74.490237,15,3.1564
